,0,1
28,{np} 6 tiket diskon 50% masuk gelanggang samudra 30k aja berlaku sampe 15 nov 2018 https://t.co/9ow2utd9yw,New_preloved
29,"kalok minta diskon, telponnyaaaa berkali kaliii...  giliran diminta pelunasan, slow respond, not feeling well!!  yhaaa bhaiqueee!!   *saya jugak kalok ngeluarin duit jugakkk not feeling well paaakk!!*",Kmunadiayuna
30,"prime gears beri diskon menarik helm arai, taichi dan komine di imos 2018 - https://t.co/uvtwkflgnb https://t.co/n6evoizn6w",motovaganza
31,kunjungi showroom kami dan bergabunglah menjadi member untuk mendapatkan banyak manfaat dan diskon seumur hidup,iwakkoi_center
32,yaallah aku sudah teracuni diskon shopee lagi,gramedira
33,"@fiiildzah @gojekindonesia nggak tau nih kak, tiba2 dapat 10 voucher diskon gocar",ademutiaraa
34,@gramedia komik harga diskon gila an plis..,RomeoInsulind
35,"sesuai janji kami beberapa bulan lalu, kini program diskon big thank you sale 25% berlaku seluruh indonesia di sepanjang bulan november ini! spesial untuk buku sastra! #bukugpu  https://t.co/f9lnzlkyia",bukugpu
36,"longdress polos renda ukuran: tercantum di gambar, no accessories bahan: tercantum di gambar   harga ecer: 120rb/pcs  beli banyak dapat diskon  reseller welcome  contact &amp; order: check bio https://t.co/rae6xsay2m",ria_indra
37,"berbagai marchendise tipe-x ada di sini, #invit 7a2c0ee6, beli #murah #diskon",X_SKAsuka
38,"gmarket lagi ada diskon mega sale nih,  wanna one album set jadi 25.500 won (aslinya 34.000 won) trus yg kihno ver jadi 15.800 won (aslinya 20.000 won)   should i buy all of them? ",jinhwiyaa
39,@indonesiagaruda sdh dcoba berulang2 malah pas bs pilih schedule poinnya gk diskon 70%...benar systemnya kah?,Nug_QA
40,"cardholders, jangan lupa yah kalau mau beli tiket untuk traveling, ingat qatar airways karena dengan #mandiricard sedang ada diskon 10% loh. yuk tunggu apalagi. https://t.co/mzv5fccxnz #mandiripromo https://t.co/ttl4ouao65",mandiricard
41,@kaesangp minta rekumem mas.. gmn bli spy dpet diskon..,untung_hr
