,0,1
24,"STARBUCKS Promo Diskon 50% untuk pembelian minuman Holiday Special*, menggunakan Starbucks Tumbler / Mug dan Kartu Kredit BCA | Lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/P3daX4wl1C",katalogpromosi
25,Sempurnakan alat dapurmu yuk! Peralatan dapur yang Kamu butuhkan diskon hingga 84%!!  Belanja sekarang yuk &gt;&gt; https://t.co/YND6YiFLZY https://t.co/oPb1ozHGr4,alfacartID
26,@gramedia handmaid's tale belum ketemu miinn dan diskon buku juga paling dicari sih :'),Ljwoori
27,@YRachmania Temen gue nitip temennya pas di hongkong lagi diskon 30rebu doang tjoy ,urpoisonivy
28,{Np} 6 tiket diskon 50% masuk gelanggang samudra 30k aja berlaku sampe 15 nov 2018 https://t.co/9Ow2Utd9yw,New_preloved
29,"Kalok minta diskon, telponnyaaaa berkali kaliii...  Giliran diminta pelunasan, slow respond, not feeling well!!  YHAAA BHAIQUEEE!!   *saya jugak kalok ngeluarin duit jugakkk not feeling well Paaakk!!*",Kmunadiayuna
30,"Prime Gears Beri Diskon Menarik Helm Arai, Taichi dan Komine di IMOS 2018 - https://t.co/UvTWkFlGNB https://t.co/N6EVOIZN6W",motovaganza
31,Kunjungi Showroom kami dan bergabunglah menjadi member untuk mendapatkan banyak manfaat dan diskon seumur hidup,iwakkoi_center
32,yaallah aku sudah teracuni diskon shopee lagi,gramedira
33,"@Fiiildzah @gojekindonesia nggak tau nih kak, tiba2 dapat 10 voucher diskon gocar",ademutiaraa
34,@gramedia komik harga diskon gila an plis..,RomeoInsulind
35,"Sesuai janji kami beberapa bulan lalu, kini program diskon BIG THANK YOU SALE 25% berlaku seluruh Indonesia di sepanjang bulan November ini! Spesial untuk buku sastra! #bukugpu  https://t.co/F9LNZlKYia",bukugpu
36,"Longdress Polos Renda Ukuran: tercantum di gambar, no accessories Bahan: tercantum di gambar   Harga ecer: 120rb/pcs  Beli banyak dapat diskon  Reseller welcome  Contact &amp; Order: check Bio https://t.co/rAE6XSAy2m",ria_indra
37,"Berbagai marchendise tipe-x ada di sini, #invit 7A2C0EE6, beli #murah #diskon",X_SKAsuka
38,"gmarket lagi ada diskon mega sale nih,  wanna one album set jadi 25.500 won (aslinya 34.000 won) trus yg kihno ver jadi 15.800 won (aslinya 20.000 won)   should i buy all of them? ",jinhwiyaa
